x-axis,1,2,3,4,F1
second,Volt,Volt,Volt,Volt,Volt
-172.0000E-09,+604.5352020301E-03,+556.8467653356E-03,+566.4195888676E-03,+3.1432788451202E+00,+14.0178026286E-03
-171.2200E-09,+592.4749006517E-03,+558.8568155654E-03,+564.4095386378E-03,+3.1608667846303E+00,+10.9562790694E-03
-170.4400E-09,+603.5301769152E-03,+549.8115895316E-03,+560.8919507358E-03,+3.1483039706945E+00,+16.0319628649E-03
-169.6600E-09,+591.4698755369E-03,+549.8115895316E-03,+573.4547646716E-03,+3.1784547241405E+00,+28.9225883771E-03
-168.8800E-09,+597.5000262260E-03,+550.8166146465E-03,+567.4246139824E-03,+3.1332285939716E+00,+21.1076466603E-03
-168.1000E-09,+597.5000262260E-03,+555.8417402208E-03,+567.4246139824E-03,+3.1432788451202E+00,+16.0319628649E-03
-167.3200E-09,+597.5000262260E-03,+552.3241523188E-03,+567.4246139824E-03,+3.1483039706945E+00,+19.8991505185E-03
-166.5400E-09,+589.9623378646E-03,+548.3040518593E-03,+574.9623023439E-03,+3.1081029661000E+00,+31.3395806606E-03
-165.7600E-09,+592.9774132092E-03,+551.3191272039E-03,+567.4246139824E-03,+3.1307160311844E+00,+20.8659474320E-03
-164.9800E-09,+594.9874634389E-03,+562.8769160248E-03,+573.9572772291E-03,+3.1407662823331E+00,+16.0319628649E-03
-164.2000E-09,+598.5050513409E-03,+555.8417402208E-03,+578.9824028034E-03,+3.1658919102047E+00,+27.6335258259E-03
-163.4200E-09,+600.5151015706E-03,+561.8718909100E-03,+575.4648149014E-03,+3.1181532172486E+00,+18.2878223295E-03
-162.6400E-09,+596.4950011112E-03,+555.8417402208E-03,+568.4296390973E-03,+3.1483039706945E+00,+17.2404590066E-03
-161.8600E-09,+600.5151015706E-03,+555.8417402208E-03,+570.4396893270E-03,+3.1307160311844E+00,+19.2546192429E-03
-161.0800E-09,+597.5000262260E-03,+548.3040518593E-03,+567.4246139824E-03,+3.1457914079074E+00,+24.0483206053E-03
-160.3000E-09,+597.5000262260E-03,+555.8417402208E-03,+570.9422018845E-03,+3.1483039706945E+00,+19.8185841091E-03
-159.5200E-09,+612.5754029490E-03,+540.7663634978E-03,+575.4648149014E-03,+3.1483039706945E+00,+39.3962216058E-03
-158.7400E-09,+605.5402271450E-03,+547.8015393019E-03,+575.4648149014E-03,+3.1483039706945E+00,+32.0646783457E-03
-157.9600E-09,+605.5402271450E-03,+555.8417402208E-03,+570.4396893270E-03,+3.1382537195459E+00,+19.2949024477E-03
-157.1800E-09,+599.0075638983E-03,+555.8417402208E-03,+576.9723525736E-03,+3.1382537195459E+00,+25.9013480227E-03
-156.4000E-09,+592.4749006517E-03,+553.3291774336E-03,+575.4648149014E-03,+3.1483039706945E+00,+26.6264457077E-03
-155.6200E-09,+597.5000262260E-03,+555.3392276634E-03,+567.9271265399E-03,+3.1483039706945E+00,+17.8447070775E-03
-154.8400E-09,+593.4799257666E-03,+555.8417402208E-03,+574.4597897865E-03,+3.1508165334817E+00,+23.1620901013E-03
-154.0600E-09,+589.9623378646E-03,+556.3442527782E-03,+566.9221014250E-03,+3.1859924125020E+00,+15.9513964554E-03
-153.2800E-09,+602.0226392429E-03,+554.8367151059E-03,+563.9070260804E-03,+3.1483039706945E+00,+13.5746873766E-03
-152.5000E-09,+589.4598253071E-03,+555.8417402208E-03,+573.9572772291E-03,+3.1407662823331E+00,+23.0412404871E-03
-151.7200E-09,+594.9874634389E-03,+561.3693783525E-03,+567.4246139824E-03,+3.1332285939716E+00,+10.5131638174E-03
-150.9400E-09,+591.4698755369E-03,+554.3342025485E-03,+571.4447144419E-03,+3.1483039706945E+00,+22.0744435737E-03
-150.1600E-09,+597.5000262260E-03,+547.8015393019E-03,+565.4145637527E-03,+3.1483039706945E+00,+22.4772756210E-03
-149.3800E-09,+594.9874634389E-03,+555.8417402208E-03,+567.4246139824E-03,+3.1734295985661E+00,+16.0319628649E-03
-148.6000E-09,+589.4598253071E-03,+555.8417402208E-03,+567.4246139824E-03,+3.1483039706945E+00,+16.0319628649E-03
-147.8200E-09,+597.5000262260E-03,+555.8417402208E-03,+571.4447144419E-03,+3.1658919102047E+00,+20.1408497469E-03
-147.0400E-09,+605.5402271450E-03,+555.8417402208E-03,+567.4246139824E-03,+3.1859924125020E+00,+16.0319628649E-03
-146.2600E-09,+600.5151015706E-03,+555.8417402208E-03,+571.9472269993E-03,+3.1483039706945E+00,+20.8659474320E-03
-145.4800E-09,+605.5402271450E-03,+554.8367151059E-03,+580.4899404757E-03,+3.1533290962689E+00,+30.7353325898E-03
-144.7000E-09,+599.5100764558E-03,+547.8015393019E-03,+567.4246139824E-03,+3.1583542218432E+00,+24.0483206053E-03
-143.9200E-09,+607.5502773747E-03,+547.8015393019E-03,+569.4346642122E-03,+3.1483039706945E+00,+26.3041800699E-03
-143.1400E-09,+606.5452522598E-03,+554.8367151059E-03,+575.4648149014E-03,+3.1483039706945E+00,+25.2568167471E-03
-142.3600E-09,+602.0226392429E-03,+547.8015393019E-03,+570.4396893270E-03,+3.1483039706945E+00,+27.2709769833E-03
-141.5800E-09,+597.5000262260E-03,+547.8015393019E-03,+559.8869256210E-03,+3.1483039706945E+00,+16.5556445263E-03
-140.8000E-09,+585.4397248477E-03,+555.8417402208E-03,+567.4246139824E-03,+3.1081029661000E+00,+16.0319628649E-03
-140.0200E-09,+589.4598253071E-03,+555.8417402208E-03,+573.9572772291E-03,+3.1106155288871E+00,+22.6786916446E-03
-139.2400E-09,+584.4346997328E-03,+555.8417402208E-03,+569.4346642122E-03,+3.1483039706945E+00,+18.3281055342E-03
-138.4600E-09,+597.5000262260E-03,+562.3744034674E-03,+568.9321516547E-03,+3.1483039706945E+00,+11.2785447072E-03
-137.6800E-09,+603.5301769152E-03,+555.8417402208E-03,+575.4648149014E-03,+3.1483039706945E+00,+24.0483206053E-03
-136.9000E-09,+600.0125890132E-03,+555.8417402208E-03,+572.4497395568E-03,+3.1206657800358E+00,+21.4299122981E-03
-136.1200E-09,+612.5754029490E-03,+548.8065644167E-03,+567.4246139824E-03,+3.1483039706945E+00,+23.1218068966E-03
-135.3400E-09,+609.5603276044E-03,+559.8618406802E-03,+565.4145637527E-03,+3.1483039706945E+00,+10.6742966364E-03
-134.5600E-09,+605.5402271450E-03,+548.3040518593E-03,+583.0025032628E-03,+3.1081029661000E+00,+39.9199032672E-03
-133.7800E-09,+605.5402271450E-03,+555.8417402208E-03,+559.3844130635E-03,+3.1709170357790E+00,+8.0156051245E-03
-133.0000E-09,+596.4950011112E-03,+555.8417402208E-03,+575.4648149014E-03,+3.1483039706945E+00,+24.0483206053E-03
-132.2200E-09,+594.9874634389E-03,+555.8417402208E-03,+580.4899404757E-03,+3.1483039706945E+00,+29.5268364480E-03
-131.4400E-09,+595.9924885537E-03,+555.8417402208E-03,+567.4246139824E-03,+3.1483039706945E+00,+16.0319628649E-03
-130.6600E-09,+589.4598253071E-03,+555.8417402208E-03,+560.8919507358E-03,+3.1156406544615E+00,+9.5463669040E-03
-129.8800E-09,+589.4598253071E-03,+555.8417402208E-03,+572.4497395568E-03,+3.1483039706945E+00,+21.1076466603E-03
-129.1000E-09,+589.4598253071E-03,+555.8417402208E-03,+559.8869256210E-03,+3.1483039706945E+00,+8.5795699906E-03
-128.3200E-09,+589.4598253071E-03,+559.8618406802E-03,+562.9020009656E-03,+3.1483039706945E+00,+8.0156051245E-03
-127.5400E-09,+605.5402271450E-03,+563.8819411397E-03,+559.3844130635E-03,+3.1885049752891E+00,+321.5130218E-06
-126.7600E-09,+605.5402271450E-03,+554.3342025485E-03,+571.9472269993E-03,+3.1382537195459E+00,+22.5578420304E-03
-125.9800E-09,+606.5452522598E-03,+555.8417402208E-03,+561.8969758507E-03,+3.1483039706945E+00,+10.6340134316E-03
-125.2000E-09,+607.5502773747E-03,+555.8417402208E-03,+575.4648149014E-03,+3.1759421613533E+00,+24.0483206053E-03
-124.4200E-09,+605.5402271450E-03,+555.8417402208E-03,+569.4346642122E-03,+3.1483039706945E+00,+18.2878223295E-03
-123.6400E-09,+605.5402271450E-03,+562.8769160248E-03,+581.9974781480E-03,+3.1483039706945E+00,+24.0483206053E-03
-122.8600E-09,+600.5151015706E-03,+559.3593281228E-03,+579.9874279182E-03,+3.1709170357790E+00,+25.5387991801E-03
-122.0800E-09,+597.5000262260E-03,+548.8065644167E-03,+567.4246139824E-03,+3.1483039706945E+00,+23.7663381722E-03
-121.3000E-09,+585.9422374051E-03,+552.3241523188E-03,+567.4246139824E-03,+3.2287059798837E+00,+19.8185841091E-03
-120.5200E-09,+582.9271620605E-03,+549.3090769742E-03,+558.3793879487E-03,+3.1885049752891E+00,+13.9775194239E-03
-119.7400E-09,+597.5000262260E-03,+563.8819411397E-03,+566.4195888676E-03,+3.1608667846303E+00,+7.4919234630E-03
-118.9600E-09,+589.4598253071E-03,+557.8517904505E-03,+576.4698400162E-03,+3.1558416590560E+00,+23.8469045817E-03
-118.1800E-09,+595.9924885537E-03,+557.8517904505E-03,+551.3442121446E-03,+3.1885049752891E+00,-1.8940632381E-03
-117.4000E-09,+592.4749006517E-03,+550.8166146465E-03,+577.9773776885E-03,+3.1608667846303E+00,+32.0646783457E-03
-116.6200E-09,+595.9924885537E-03,+563.3794285823E-03,+583.5050158203E-03,+3.1508165334817E+00,+24.9345511093E-03
-115.8400E-09,+613.5804280639E-03,+555.8417402208E-03,+568.9321516547E-03,+3.1256909056101E+00,+17.7641406681E-03
-115.0600E-09,+613.5804280639E-03,+563.8819411397E-03,+567.4246139824E-03,+3.1859924125020E+00,+8.0961715339E-03
-114.2800E-09,+612.0728903916E-03,+560.8668657951E-03,+578.4798902459E-03,+3.1483039706945E+00,+23.0009572824E-03
-113.5000E-09,+604.0326894727E-03,+563.8819411397E-03,+568.4296390973E-03,+3.1809672869276E+00,+8.9824020379E-03
-112.7200E-09,+592.4749006517E-03,+558.8568155654E-03,+569.9371767696E-03,+3.1483039706945E+00,+16.0319628649E-03
-111.9400E-09,+597.5000262260E-03,+554.3342025485E-03,+560.8919507358E-03,+3.1483039706945E+00,+11.9230759828E-03
-111.1600E-09,+597.5000262260E-03,+554.3342025485E-03,+573.4547646716E-03,+3.1784547241405E+00,+24.0483206053E-03
-110.3800E-09,+581.4196243882E-03,+555.8417402208E-03,+564.4095386378E-03,+3.1332285939716E+00,+13.0912889199E-03
-109.6000E-09,+581.4196243882E-03,+548.8065644167E-03,+566.4195888676E-03,+3.1081029661000E+00,+22.8398244635E-03
-108.8200E-09,+581.4196243882E-03,+555.8417402208E-03,+567.4246139824E-03,+3.1256909056101E+00,+16.0319628649E-03
-108.0400E-09,+589.4598253071E-03,+556.3442527782E-03,+566.9221014250E-03,+3.1483039706945E+00,+15.3068651798E-03
-107.2600E-09,+594.4849508815E-03,+563.8819411397E-03,+563.9070260804E-03,+3.1483039706945E+00,+4.8332319511E-03
-106.4800E-09,+606.5452522598E-03,+562.8769160248E-03,+568.4296390973E-03,+3.1081029661000E+00,+10.6340134316E-03
-105.7000E-09,+613.5804280639E-03,+550.3141020890E-03,+575.4648149014E-03,+3.1357411567587E+00,+29.8491020858E-03
-104.9200E-09,+613.5804280639E-03,+555.8417402208E-03,+572.9522521142E-03,+3.1483039706945E+00,+21.7521779359E-03
-104.1400E-09,+613.5804280639E-03,+562.8769160248E-03,+560.3894381784E-03,+3.1483039706945E+00,+2.4565228723E-03
-103.3600E-09,+607.0477648173E-03,+563.8819411397E-03,+559.3844130635E-03,+3.1483039706945E+00,-752.6160E-09
-102.5800E-09,+597.5000262260E-03,+556.3442527782E-03,+566.9221014250E-03,+3.1859924125020E+00,+15.4679979987E-03
-101.8000E-09,+593.4799257666E-03,+547.8015393019E-03,+563.4045135230E-03,+3.1885049752891E+00,+20.2214161563E-03
-101.0200E-09,+580.9171118308E-03,+547.2990267444E-03,+559.8869256210E-03,+3.1483039706945E+00,+17.3613086208E-03
-100.2400E-09,+578.9070616011E-03,+545.2889765147E-03,+572.4497395568E-03,+3.1483039706945E+00,+32.0646783457E-03
-99.4600E-09,+579.9120867159E-03,+549.8115895316E-03,+560.8919507358E-03,+3.1483039706945E+00,+16.0319628649E-03
-98.6800E-09,+579.9120867159E-03,+555.8417402208E-03,+567.4246139824E-03,+3.1483039706945E+00,+16.0319628649E-03
-97.9000E-09,+589.4598253071E-03,+561.3693783525E-03,+569.9371767696E-03,+3.1332285939716E+00,+13.2121385341E-03
-97.1200E-09,+596.9975136686E-03,+563.3794285823E-03,+567.9271265399E-03,+3.1432788451202E+00,+9.8283493371E-03
-96.3400E-09,+604.5352020301E-03,+564.8869662546E-03,+571.4447144419E-03,+3.1282034683973E+00,+11.5605271403E-03
-95.5600E-09,+621.6206289828E-03,+555.8417402208E-03,+559.3844130635E-03,+3.1483039706945E+00,+8.0558883292E-03
-94.7800E-09,+621.6206289828E-03,+551.3191272039E-03,+579.9874279182E-03,+3.1231783428229E+00,+33.0717584638E-03
-94.0000E-09,+620.1130913105E-03,+555.8417402208E-03,+565.9170763101E-03,+3.1885049752891E+00,+15.0248827467E-03
-93.2200E-09,+608.0527899321E-03,+555.8417402208E-03,+564.4095386378E-03,+3.1608667846303E+00,+13.4941209672E-03
-92.4400E-09,+597.5000262260E-03,+554.3342025485E-03,+570.9422018845E-03,+3.1558416590560E+00,+21.9133107548E-03
-91.6600E-09,+591.4698755369E-03,+547.8015393019E-03,+583.5050158203E-03,+3.1558416590560E+00,+40.0810360861E-03
-90.8800E-09,+589.4598253071E-03,+550.8166146465E-03,+572.4497395568E-03,+3.1734295985661E+00,+26.1833304558E-03
-90.1000E-09,+574.8869611416E-03,+548.8065644167E-03,+574.4597897865E-03,+3.1483039706945E+00,+30.8561822039E-03
-89.3200E-09,+581.4196243882E-03,+555.8417402208E-03,+571.4447144419E-03,+3.1658919102047E+00,+20.1408497469E-03
-88.5400E-09,+573.8819360267E-03,+555.8417402208E-03,+574.9623023439E-03,+3.1106155288871E+00,+23.6857717628E-03
-87.7600E-09,+586.4447499625E-03,+555.8417402208E-03,+567.4246139824E-03,+3.1633793474175E+00,+16.0319628649E-03
-86.9800E-09,+584.4346997328E-03,+555.8417402208E-03,+567.4246139824E-03,+3.1734295985661E+00,+16.0319628649E-03
-86.2000E-09,+603.0276643578E-03,+555.8417402208E-03,+567.4246139824E-03,+3.1357411567587E+00,+16.0319628649E-03
-85.4200E-09,+607.5502773747E-03,+555.8417402208E-03,+567.4246139824E-03,+3.1483039706945E+00,+16.0319628649E-03
-84.6400E-09,+599.5100764558E-03,+555.8417402208E-03,+560.3894381784E-03,+3.1483039706945E+00,+9.2241012662E-03
-83.8600E-09,+613.5804280639E-03,+555.8417402208E-03,+575.4648149014E-03,+3.1483039706945E+00,+24.0483206053E-03
-83.0800E-09,+605.5402271450E-03,+555.8417402208E-03,+575.4648149014E-03,+3.1483039706945E+00,+24.0483206053E-03
-82.3000E-09,+601.0176141281E-03,+555.8417402208E-03,+570.9422018845E-03,+3.1483039706945E+00,+19.8185841091E-03
-81.5200E-09,+597.5000262260E-03,+555.8417402208E-03,+574.4597897865E-03,+3.1483039706945E+00,+23.3635061250E-03
-80.7400E-09,+597.5000262260E-03,+550.8166146465E-03,+567.4246139824E-03,+3.1483039706945E+00,+21.1882130698E-03
-79.9600E-09,+589.4598253071E-03,+547.8015393019E-03,+552.8517498169E-03,+3.1558416590560E+00,+9.6269333135E-03
-79.1800E-09,+583.4296746179E-03,+547.8015393019E-03,+565.4145637527E-03,+3.1885049752891E+00,+22.1550099832E-03
-78.4000E-09,+597.5000262260E-03,+550.8166146465E-03,+564.4095386378E-03,+3.1332285939716E+00,+18.8115039909E-03
-77.6200E-09,+597.5000262260E-03,+555.8417402208E-03,+559.3844130635E-03,+3.1081029661000E+00,+8.0156051245E-03
-76.8400E-09,+585.4397248477E-03,+563.8819411397E-03,+567.4246139824E-03,+3.1483039706945E+00,+8.0156051245E-03
-76.0600E-09,+597.5000262260E-03,+556.3442527782E-03,+583.0025032628E-03,+3.1483039706945E+00,+31.9438287315E-03
-75.2800E-09,+597.5000262260E-03,+568.9070667140E-03,+576.4698400162E-03,+3.1709170357790E+00,+12.5273240537E-03
-74.5000E-09,+605.5402271450E-03,+565.3894788120E-03,+591.5452167392E-03,+3.1483039706945E+00,+31.0575982276E-03
-73.7200E-09,+605.5402271450E-03,+577.4497801904E-03,+586.0175786074E-03,+3.1734295985661E+00,+13.0510057152E-03
-72.9400E-09,+611.5703778341E-03,+575.9422425181E-03,+593.0527544115E-03,+3.1483039706945E+00,+22.0744435737E-03
-72.1600E-09,+605.5402271450E-03,+581.9723932073E-03,+599.5854176581E-03,+3.1483039706945E+00,+22.4772756210E-03
-71.3800E-09,+607.5502773747E-03,+588.0025438964E-03,+599.5854176581E-03,+3.1734295985661E+00,+16.0319628649E-03
-70.6000E-09,+597.5000262260E-03,+580.9673680924E-03,+606.6205934621E-03,+3.1106155288871E+00,+30.8561822039E-03
-69.8200E-09,+593.9824383240E-03,+588.0025438964E-03,+607.6256185770E-03,+3.1658919102047E+00,+24.0483206053E-03
-69.0400E-09,+573.3794234693E-03,+588.0025438964E-03,+607.1231060196E-03,+3.1483039706945E+00,+23.6857717628E-03
-68.2600E-09,+583.4296746179E-03,+588.0025438964E-03,+604.1080306750E-03,+3.1483039706945E+00,+20.8659474320E-03
-67.4800E-09,+589.4598253071E-03,+589.5100815687E-03,+600.5904427730E-03,+3.1483039706945E+00,+16.0319628649E-03
-66.7000E-09,+583.9321871754E-03,+602.0728955045E-03,+607.6256185770E-03,+3.1181532172486E+00,+10.1908981796E-03
-65.9200E-09,+594.4849508815E-03,+596.0427448154E-03,+609.6356688067E-03,+3.1181532172486E+00,+18.2878223295E-03
-65.1400E-09,+598.5050513409E-03,+596.0427448154E-03,+615.6658194959E-03,+3.1483039706945E+00,+24.0483206053E-03
-64.3600E-09,+600.5151015706E-03,+599.5603327174E-03,+607.6256185770E-03,+3.1633793474175E+00,+12.7690232821E-03
-63.5800E-09,+613.0779155064E-03,+596.5452573728E-03,+615.1633069385E-03,+3.1483039706945E+00,+23.4843557391E-03
-62.8000E-09,+601.0176141281E-03,+604.0829457343E-03,+615.6658194959E-03,+3.1684044729918E+00,+16.0319628649E-03
-62.0200E-09,+612.5754029490E-03,+596.0427448154E-03,+606.6205934621E-03,+3.1483039706945E+00,+15.3471483845E-03
-61.2400E-09,+600.0125890132E-03,+596.0427448154E-03,+604.6105432324E-03,+3.1483039706945E+00,+13.1718553293E-03
-60.4600E-09,+599.0075638983E-03,+601.0678703897E-03,+605.6155683473E-03,+3.1483039706945E+00,+9.6269333135E-03
-59.6800E-09,+593.4799257666E-03,+594.5352071431E-03,+599.5854176581E-03,+3.1483039706945E+00,+9.8686325418E-03
-58.9000E-09,+592.4749006517E-03,+582.9774183221E-03,+604.6105432324E-03,+3.1483039706945E+00,+26.6264457077E-03
