x-axis,1,2,3,4,F1
second,Volt,Volt,Volt,Volt,Volt
-172.0000E-09,+516.0929919221E-03,+496.0803911090E-03,+495.9045387805E-03,+3.1834798497148E+00,-8.0057972791E-03
-171.2200E-09,+509.0578161180E-03,+496.0803911090E-03,+490.8794132061E-03,+3.1206657800358E+00,-13.5245963265E-03
-170.4400E-09,+511.0678663477E-03,+496.0803911090E-03,+489.8743880913E-03,+3.1483039706945E+00,-14.0885611927E-03
-169.6600E-09,+511.0678663477E-03,+496.0803911090E-03,+495.9045387805E-03,+3.1483039706945E+00,-8.0057972791E-03
-168.8800E-09,+517.0980170369E-03,+493.5678283218E-03,+493.3919759933E-03,+3.1081029661000E+00,-8.7711781689E-03
-168.1000E-09,+517.0980170369E-03,+496.5829036664E-03,+502.9397145845E-03,+3.1432788451202E+00,-1.8021837514E-03
-167.3200E-09,+521.1181174964E-03,+492.0602906495E-03,+495.9045387805E-03,+3.1483039706945E+00,-4.3803088538E-03
-166.5400E-09,+525.1382179558E-03,+503.6180794705E-03,+503.9447396994E-03,+3.1483039706945E+00,-8.0057972791E-03
-165.7600E-09,+530.1633435301E-03,+500.6030041259E-03,+500.9296643548E-03,+3.1483039706945E+00,-8.0057972791E-03
-164.9800E-09,+533.1784188747E-03,+502.6130543556E-03,+493.3919759933E-03,+3.1483039706945E+00,-17.3515007755E-03
-164.2000E-09,+527.6507807430E-03,+501.6080292407E-03,+491.8844383210E-03,+3.1759421613533E+00,-18.2377312794E-03
-163.4200E-09,+523.1281677261E-03,+496.0803911090E-03,+501.9346894696E-03,+3.1483039706945E+00,-2.2855822081E-03
-162.6400E-09,+524.1331928410E-03,+489.0452153049E-03,+489.3718755338E-03,+3.1483039706945E+00,-8.0057972791E-03
-161.8600E-09,+514.0829416923E-03,+488.0401901901E-03,+489.8743880913E-03,+3.1483039706945E+00,-6.5153187043E-03
-161.0800E-09,+517.0980170369E-03,+488.0401901901E-03,+495.4020262230E-03,+3.1483039706945E+00,-553.4044049E-06
-160.3000E-09,+509.0578161180E-03,+491.5577780921E-03,+492.3869508784E-03,+3.1256909056101E+00,-7.6432484366E-03
-159.5200E-09,+516.5955044795E-03,+495.0753659941E-03,+488.8693629764E-03,+3.1106155288871E+00,-14.6928092636E-03
-158.7400E-09,+514.5854542498E-03,+493.0653157644E-03,+490.8794132061E-03,+3.1483039706945E+00,-10.3422231532E-03
-157.9600E-09,+519.1080672666E-03,+496.0803911090E-03,+494.3970011082E-03,+3.1483039706945E+00,-9.6574086729E-03
-157.1800E-09,+525.1382179558E-03,+502.1105417982E-03,+481.8341871724E-03,+3.1483039706945E+00,-28.3085324609E-03
-156.4000E-09,+533.1784188747E-03,+501.1055166833E-03,+490.8794132061E-03,+3.1483039706945E+00,-18.8419793503E-03
-155.6200E-09,+533.1784188747E-03,+488.5427027475E-03,+495.9045387805E-03,+3.1483039706945E+00,-915.9532474E-06
-154.8400E-09,+541.2186197937E-03,+499.5979790110E-03,+495.9045387805E-03,+3.1483039706945E+00,-11.5910024997E-03
-154.0600E-09,+525.1382179558E-03,+488.0401901901E-03,+503.9447396994E-03,+3.1081029661000E+00,+7.9463517923E-03
-153.2800E-09,+525.1382179558E-03,+491.0552655347E-03,+491.3819257636E-03,+3.1709170357790E+00,-8.0057972791E-03
-152.5000E-09,+517.0980170369E-03,+489.0452153049E-03,+495.9045387805E-03,+3.1407662823331E+00,-996.5196568E-06
-151.7200E-09,+517.0980170369E-03,+496.0803911090E-03,+490.8794132061E-03,+3.1332285939716E+00,-13.5245963265E-03
-150.9400E-09,+505.0377156585E-03,+494.0703408793E-03,+487.8643378615E-03,+3.1483039706945E+00,-14.0885611927E-03
-150.1600E-09,+511.0678663477E-03,+494.0703408793E-03,+487.8643378615E-03,+3.0829773382284E+00,-14.4913932400E-03
-149.3800E-09,+510.0628412329E-03,+498.5929538962E-03,+485.3517750744E-03,+3.1332285939716E+00,-21.9035029095E-03
-148.6000E-09,+525.1382179558E-03,+496.5829036664E-03,+487.3618253041E-03,+3.1081029661000E+00,-17.2306511613E-03
-147.8200E-09,+521.1181174964E-03,+492.0602906495E-03,+488.3668504190E-03,+3.1081029661000E+00,-11.9132681375E-03
-147.0400E-09,+525.6407305133E-03,+496.0803911090E-03,+488.3668504190E-03,+3.1483039706945E+00,-15.6998893817E-03
-146.2600E-09,+528.6558058579E-03,+500.6030041259E-03,+495.9045387805E-03,+3.1483039706945E+00,-12.8800650509E-03
-145.4800E-09,+528.1532933004E-03,+501.1055166833E-03,+497.4120764527E-03,+3.1407662823331E+00,-12.0744009564E-03
-144.7000E-09,+529.6608309727E-03,+493.5678283218E-03,+492.3869508784E-03,+3.1357411567587E+00,-9.4157094445E-03
-143.9200E-09,+527.6507807430E-03,+496.0803911090E-03,+495.9045387805E-03,+3.1483039706945E+00,-8.0057972791E-03
-143.1400E-09,+519.6105798241E-03,+489.0452153049E-03,+495.9045387805E-03,+3.1483039706945E+00,-1.2382188852E-03
-142.3600E-09,+525.1382179558E-03,+496.0803911090E-03,+491.3819257636E-03,+3.1483039706945E+00,-12.7994986415E-03
-141.5800E-09,+517.6005295943E-03,+488.0401901901E-03,+488.3668504190E-03,+3.1483039706945E+00,-8.0057972791E-03
-140.8000E-09,+513.5804291349E-03,+500.1004915684E-03,+488.3668504190E-03,+3.1282034683973E+00,-19.8490594685E-03
-140.0200E-09,+509.0578161180E-03,+495.0753659941E-03,+494.8995136656E-03,+3.1432788451202E+00,-8.6906117594E-03
-139.2400E-09,+504.0326905437E-03,+493.0653157644E-03,+485.3517750744E-03,+3.1081029661000E+00,-16.0221550195E-03
-138.4600E-09,+511.0678663477E-03,+502.1105417982E-03,+491.3819257636E-03,+3.1483039706945E+00,-19.1239617834E-03
-137.6800E-09,+523.6306802835E-03,+502.1105417982E-03,+503.9447396994E-03,+3.1483039706945E+00,-6.1527698617E-03
-136.9000E-09,+528.1532933004E-03,+498.5929538962E-03,+493.3919759933E-03,+3.1608667846303E+00,-13.2426138935E-03
-136.1200E-09,+533.1784188747E-03,+496.5829036664E-03,+502.4372020271E-03,+3.1508165334817E+00,-2.7689806648E-03
-135.3400E-09,+525.1382179558E-03,+496.0803911090E-03,+495.9045387805E-03,+3.1432788451202E+00,-8.0057972791E-03
-134.5600E-09,+541.2186197937E-03,+503.6180794705E-03,+511.9849406183E-03,+3.1483039706945E+00,-29.7227434E-06
-133.7800E-09,+533.1784188747E-03,+496.0803911090E-03,+495.9045387805E-03,+3.1709170357790E+00,-8.0057972791E-03
-133.0000E-09,+525.1382179558E-03,+501.6080292407E-03,+495.9045387805E-03,+3.1533290962689E+00,-14.0482779880E-03
-132.2200E-09,+520.1130923815E-03,+493.0653157644E-03,+501.4321769122E-03,+3.1885049752891E+00,+10.5604613E-06
-131.4400E-09,+507.5502784457E-03,+488.0401901901E-03,+500.4271517973E-03,+3.1081029661000E+00,+4.0791641386E-03
-130.6600E-09,+501.0176151991E-03,+494.0703408793E-03,+494.3970011082E-03,+3.1382537195459E+00,-8.0057972791E-03
-129.8800E-09,+501.0176151991E-03,+488.0401901901E-03,+495.9045387805E-03,+3.1483039706945E+00,+10.5604613E-06
-129.1000E-09,+501.0176151991E-03,+495.0753659941E-03,+488.8693629764E-03,+3.1483039706945E+00,-14.8539420825E-03
-128.3200E-09,+501.0176151991E-03,+499.5979790110E-03,+491.8844383210E-03,+3.1483039706945E+00,-16.0221550195E-03
-127.5400E-09,+509.5603286754E-03,+504.1205920279E-03,+488.3668504190E-03,+3.1483039706945E+00,-23.7162471221E-03
-126.7600E-09,+522.1231426112E-03,+499.0954664536E-03,+495.9045387805E-03,+3.1633793474175E+00,-11.1881704524E-03
-125.9800E-09,+533.1784188747E-03,+504.1205920279E-03,+495.9045387805E-03,+3.1533290962689E+00,-16.0221550195E-03
-125.2000E-09,+539.2085695639E-03,+504.1205920279E-03,+495.9045387805E-03,+3.1583542218432E+00,-16.0221550195E-03
-124.4200E-09,+539.2085695639E-03,+498.0904413387E-03,+490.3769006487E-03,+3.1759421613533E+00,-16.0221550195E-03
-123.6400E-09,+540.2135946788E-03,+497.0854162239E-03,+502.9397145845E-03,+3.1483039706945E+00,-2.4869982317E-03
-122.8600E-09,+525.1382179558E-03,+496.0803911090E-03,+495.9045387805E-03,+3.1633793474175E+00,-8.0057972791E-03
-122.0800E-09,+525.1382179558E-03,+488.0401901901E-03,+495.9045387805E-03,+3.1885049752891E+00,-271.4219718E-06
-121.3000E-09,+521.1181174964E-03,+491.5577780921E-03,+500.4271517973E-03,+3.1658919102047E+00,+373.1093038E-06
-120.5200E-09,+508.5553035606E-03,+496.0803911090E-03,+488.8693629764E-03,+3.1081029661000E+00,-15.3776237439E-03
-119.7400E-09,+501.0176151991E-03,+496.0803911090E-03,+495.9045387805E-03,+3.1081029661000E+00,-8.0057972791E-03
-118.9600E-09,+507.5502784457E-03,+496.0803911090E-03,+487.8643378615E-03,+3.1558416590560E+00,-16.0221550195E-03
-118.1800E-09,+513.5804291349E-03,+489.5477278624E-03,+487.8643378615E-03,+3.1558416590560E+00,-9.8991079012E-03
-117.4000E-09,+517.0980170369E-03,+501.1055166833E-03,+490.8794132061E-03,+3.1483039706945E+00,-18.4391473031E-03
-116.6200E-09,+524.6357053984E-03,+497.5879287813E-03,+479.8241369426E-03,+3.1483039706945E+00,-25.8915401773E-03
-115.8400E-09,+525.1382179558E-03,+496.0803911090E-03,+487.8643378615E-03,+3.1256909056101E+00,-16.0221550195E-03
-115.0600E-09,+533.1784188747E-03,+504.1205920279E-03,+488.3668504190E-03,+3.1483039706945E+00,-23.9982295552E-03
-114.2800E-09,+528.6558058579E-03,+504.1205920279E-03,+499.4221266825E-03,+3.1483039706945E+00,-12.5577994131E-03
-113.5000E-09,+526.6457556281E-03,+501.6080292407E-03,+497.4120764527E-03,+3.1483039706945E+00,-13.0411978698E-03
-112.7200E-09,+528.1532933004E-03,+493.0653157644E-03,+498.9196141250E-03,+3.1734295985661E+00,-2.9703966884E-03
-111.9400E-09,+517.0980170369E-03,+496.0803911090E-03,+495.9045387805E-03,+3.1483039706945E+00,-8.0057972791E-03
-111.1600E-09,+523.6306802835E-03,+489.5477278624E-03,+502.4372020271E-03,+3.1483039706945E+00,+4.8848282331E-03
-110.3800E-09,+517.0980170369E-03,+496.0803911090E-03,+495.9045387805E-03,+3.1734295985661E+00,-8.0057972791E-03
-109.6000E-09,+517.0980170369E-03,+488.5427027475E-03,+495.9045387805E-03,+3.1106155288871E+00,-593.6876096E-06
-108.8200E-09,+513.5804291349E-03,+492.0602906495E-03,+484.3467499595E-03,+3.1684044729918E+00,-16.0221550195E-03
-108.0400E-09,+517.0980170369E-03,+503.6180794705E-03,+487.8643378615E-03,+3.1457914079074E+00,-23.7162471221E-03
-107.2600E-09,+517.0980170369E-03,+496.0803911090E-03,+487.8643378615E-03,+3.1307160311844E+00,-16.0221550195E-03
-106.4800E-09,+524.1331928410E-03,+496.0803911090E-03,+495.9045387805E-03,+3.1206657800358E+00,-8.0057972791E-03
-105.7000E-09,+529.1583184153E-03,+496.0803911090E-03,+495.9045387805E-03,+3.1583542218432E+00,-8.0057972791E-03
-104.9200E-09,+533.1784188747E-03,+490.0502404198E-03,+499.4221266825E-03,+3.1483039706945E+00,+1.1384901936E-03
-104.1400E-09,+533.1784188747E-03,+502.6130543556E-03,+487.8643378615E-03,+3.1483039706945E+00,-22.8300166182E-03
-103.3600E-09,+522.1231426112E-03,+508.6432050448E-03,+492.8894634359E-03,+3.1633793474175E+00,-24.0385127599E-03
-102.5800E-09,+525.1382179558E-03,+504.1205920279E-03,+495.9045387805E-03,+3.1483039706945E+00,-16.3041374526E-03
-101.8000E-09,+525.1382179558E-03,+499.5979790110E-03,+495.9045387805E-03,+3.1684044729918E+00,-11.8327017281E-03
-101.0200E-09,+518.1030421518E-03,+488.5427027475E-03,+495.9045387805E-03,+3.1483039706945E+00,-674.2540190E-06
-100.2400E-09,+520.1130923815E-03,+496.0803911090E-03,+495.9045387805E-03,+3.1483039706945E+00,-8.0057972791E-03
-99.4600E-09,+515.5904793646E-03,+489.5477278624E-03,+494.3970011082E-03,+3.1081029661000E+00,-3.2926623262E-03
-98.6800E-09,+509.0578161180E-03,+496.0803911090E-03,+487.8643378615E-03,+3.1081029661000E+00,-16.0221550195E-03
-97.9000E-09,+517.0980170369E-03,+504.1205920279E-03,+495.9045387805E-03,+3.1332285939716E+00,-16.0221550195E-03
-97.1200E-09,+524.6357053984E-03,+504.1205920279E-03,+495.9045387805E-03,+3.1432788451202E+00,-16.0221550195E-03
-96.3400E-09,+516.5955044795E-03,+496.0803911090E-03,+491.8844383210E-03,+3.1256909056101E+00,-12.4772330037E-03
-95.5600E-09,+517.6005295943E-03,+495.5778785516E-03,+480.3266495001E-03,+3.1081029661000E+00,-23.9982295552E-03
-94.7800E-09,+530.1633435301E-03,+492.5628032070E-03,+501.9346894696E-03,+3.1885049752891E+00,+1.0176405794E-03
-94.0000E-09,+525.1382179558E-03,+490.0502404198E-03,+494.8995136656E-03,+3.1483039706945E+00,-3.0106798931E-03
-93.2200E-09,+530.6658560876E-03,+504.1205920279E-03,+493.3919759933E-03,+3.1483039706945E+00,-18.5599969172E-03
-92.4400E-09,+531.6708812024E-03,+505.6281297002E-03,+489.8743880913E-03,+3.1483039706945E+00,-24.0385127599E-03
-91.6600E-09,+519.1080672666E-03,+505.6281297002E-03,+502.4372020271E-03,+3.1483039706945E+00,-11.1478872477E-03
-90.8800E-09,+512.0728914626E-03,+501.1055166833E-03,+495.9045387805E-03,+3.1608667846303E+00,-13.1217642793E-03
-90.1000E-09,+510.0628412329E-03,+503.1155669130E-03,+503.4422271419E-03,+3.1508165334817E+00,-8.0057972791E-03
-89.3200E-09,+521.1181174964E-03,+496.0803911090E-03,+503.9447396994E-03,+3.1282034683973E+00,-231.1387670E-06
-88.5400E-09,+525.1382179558E-03,+496.5829036664E-03,+495.9045387805E-03,+3.1483039706945E+00,-8.7308949642E-03
-87.7600E-09,+522.1231426112E-03,+507.1356673725E-03,+491.3819257636E-03,+3.1483039706945E+00,-24.0385127599E-03
-86.9800E-09,+525.1382179558E-03,+496.0803911090E-03,+489.3718755338E-03,+3.1483039706945E+00,-14.7330924683E-03
-86.2000E-09,+519.6105798241E-03,+496.0803911090E-03,+495.9045387805E-03,+3.1483039706945E+00,-8.0057972791E-03
-85.4200E-09,+527.6507807430E-03,+493.5678283218E-03,+490.3769006487E-03,+3.1759421613533E+00,-11.4701528855E-03
-84.6400E-09,+533.1784188747E-03,+488.0401901901E-03,+482.3366997298E-03,+3.1483039706945E+00,-13.5648795313E-03
-83.8600E-09,+525.1382179558E-03,+492.5628032070E-03,+499.4221266825E-03,+3.1483039706945E+00,-1.5202013183E-03
-83.0800E-09,+525.1382179558E-03,+495.5778785516E-03,+496.4070513379E-03,+3.1483039706945E+00,-7.4821156177E-03
-82.3000E-09,+521.1181174964E-03,+504.1205920279E-03,+492.3869508784E-03,+3.1483039706945E+00,-19.8490594685E-03
-81.5200E-09,+518.1030421518E-03,+496.0803911090E-03,+488.8693629764E-03,+3.1483039706945E+00,-15.3776237439E-03
-80.7400E-09,+515.0879668072E-03,+496.0803911090E-03,+495.9045387805E-03,+3.1483039706945E+00,-8.0057972791E-03
-79.9600E-09,+511.0678663477E-03,+496.0803911090E-03,+497.9145890102E-03,+3.1382537195459E+00,-6.3944690901E-03
-79.1800E-09,+523.6306802835E-03,+496.0803911090E-03,+497.9145890102E-03,+3.1382537195459E+00,-6.1527698617E-03
-78.4000E-09,+525.1382179558E-03,+496.0803911090E-03,+495.9045387805E-03,+3.1206657800358E+00,-8.0057972791E-03
-77.6200E-09,+532.6759063173E-03,+496.0803911090E-03,+495.9045387805E-03,+3.1106155288871E+00,-8.0057972791E-03
-76.8400E-09,+525.1382179558E-03,+500.1004915684E-03,+488.8693629764E-03,+3.1483039706945E+00,-19.6073602401E-03
-76.0600E-09,+525.6407305133E-03,+496.0803911090E-03,+495.9045387805E-03,+3.1483039706945E+00,-8.0460804838E-03
-75.2800E-09,+528.6558058579E-03,+496.0803911090E-03,+487.8643378615E-03,+3.1483039706945E+00,-16.0221550195E-03
-74.5000E-09,+525.1382179558E-03,+494.5728534367E-03,+502.9397145845E-03,+3.1483039706945E+00,+10.5604613E-06
-73.7200E-09,+525.1382179558E-03,+493.0653157644E-03,+495.9045387805E-03,+3.1483039706945E+00,-5.5082385861E-03
-72.9400E-09,+523.6306802835E-03,+489.5477278624E-03,+494.3970011082E-03,+3.1784547241405E+00,-3.9371936018E-03
-72.1600E-09,+523.6306802835E-03,+496.0803911090E-03,+500.9296643548E-03,+3.1156406544615E+00,-3.1315295073E-03
-71.3800E-09,+514.5854542498E-03,+509.1457176022E-03,+490.8794132061E-03,+3.1608667846303E+00,-26.2138058151E-03
-70.6000E-09,+524.1331928410E-03,+504.1205920279E-03,+488.8693629764E-03,+3.1508165334817E+00,-23.4745478938E-03
-69.8200E-09,+513.5804291349E-03,+499.5979790110E-03,+492.3869508784E-03,+3.1256909056101E+00,-15.8207389959E-03
-69.0400E-09,+517.6005295943E-03,+495.5778785516E-03,+488.3668504190E-03,+3.1081029661000E+00,-15.3373405392E-03
-68.2600E-09,+525.1382179558E-03,+492.5628032070E-03,+495.9045387805E-03,+3.1483039706945E+00,-4.8637073105E-03
-67.4800E-09,+525.1382179558E-03,+489.0452153049E-03,+494.8995136656E-03,+3.1809672869276E+00,-2.6481310506E-03
-66.7000E-09,+531.1683686450E-03,+496.0803911090E-03,+493.8944885507E-03,+3.1483039706945E+00,-10.2213735390E-03
-65.9200E-09,+525.1382179558E-03,+504.1205920279E-03,+495.9045387805E-03,+3.1483039706945E+00,-16.0221550195E-03
