x-axis,1,2,3,4,F1
second,Volt,Volt,Volt,Volt,Volt
-14.0000E-09,+684.9372112192E-03,+642.3115453217E-03,+648.6683562398E-03,+3.1483039706945E+00,-2.0035997750E-03
-13.5000E-09,+677.9020354152E-03,+655.8793843724E-03,+648.6683562398E-03,+3.1483039706945E+00,-15.0553581061E-03
-13.0000E-09,+678.4045479726E-03,+648.8442085683E-03,+650.6784064695E-03,+3.1483039706945E+00,-6.0319202476E-03
-12.5000E-09,+684.9372112192E-03,+649.3467211258E-03,+664.2462455202E-03,+3.1483039706945E+00,+6.0127579654E-03
-12.0000E-09,+677.9020354152E-03,+657.8894346021E-03,+657.7135822736E-03,+3.1483039706945E+00,-8.0057972791E-03
-11.5000E-09,+678.4045479726E-03,+665.4271229636E-03,+662.2361952905E-03,+3.1432788451202E+00,-12.0341177517E-03
-11.0000E-09,+686.4447488915E-03,+670.9547610953E-03,+640.6281553209E-03,+3.1081029661000E+00,-38.0973512092E-03
-10.5000E-09,+693.9824372530E-03,+657.3869220447E-03,+642.6382055506E-03,+3.1081029661000E+00,-23.0717158465E-03
-10.0000E-09,+692.9774121381E-03,+663.9195852913E-03,+655.7035320438E-03,+3.1081029661000E+00,-16.0221550195E-03
-9.5000E-09,+686.4447488915E-03,+658.3919471595E-03,+649.6733813547E-03,+3.1106155288871E+00,-17.0292351377E-03
-9.0000E-09,+693.9824372530E-03,+673.4673238825E-03,+657.7135822736E-03,+3.1432788451202E+00,-24.0385127599E-03
-8.5000E-09,+694.4849498104E-03,+681.0050122440E-03,+665.7537831925E-03,+3.1081029661000E+00,-23.0717158465E-03
-8.0000E-09,+701.0176130570E-03,+681.0050122440E-03,+672.7889589965E-03,+3.1081029661000E+00,-16.0221550195E-03
-7.5000E-09,+693.9824372530E-03,+679.9999871291E-03,+672.2864464391E-03,+3.1081029661000E+00,-16.0221550195E-03
-7.0000E-09,+692.9774121381E-03,+674.4723489974E-03,+664.7487580776E-03,+3.1106155288871E+00,-18.0363152558E-03
-6.5000E-09,+684.9372112192E-03,+688.0401880480E-03,+666.7588083074E-03,+3.1483039706945E+00,-29.0739133507E-03
-6.0000E-09,+677.9020354152E-03,+681.5075248014E-03,+680.8291599154E-03,+3.1382537195459E+00,-9.0128773973E-03
-5.5000E-09,+676.8970103003E-03,+689.0452131629E-03,+680.3266473580E-03,+3.0754396498669E+00,-17.0292351377E-03
-5.0000E-09,+671.3693721686E-03,+689.0452131629E-03,+673.7939841114E-03,+3.1483039706945E+00,-23.0717158465E-03
-4.5000E-09,+683.9321861044E-03,+688.0401880480E-03,+680.8291599154E-03,+3.1432788451202E+00,-15.0553581061E-03
-4.0000E-09,+669.8618344963E-03,+681.5075248014E-03,+679.3216222432E-03,+3.1106155288871E+00,-11.0270376335E-03
-3.5000E-09,+670.3643470537E-03,+688.0401880480E-03,+664.2462455202E-03,+3.1432788451202E+00,-32.0548705004E-03
-3.0000E-09,+677.9020354152E-03,+681.0050122440E-03,+658.7186073884E-03,+3.1081029661000E+00,-30.0809934688E-03
-2.5000E-09,+675.8919851854E-03,+681.0050122440E-03,+673.7939841114E-03,+3.1081029661000E+00,-15.0553581061E-03
-2.0000E-09,+664.3341963645E-03,+682.5125499163E-03,+682.8392101452E-03,+3.0829773382284E+00,-8.0057972791E-03
-1.5000E-09,+688.4547991212E-03,+704.6231024433E-03,+702.9397124425E-03,+2.8241833711509E+00,-10.0199575154E-03
-1.0000E-09,+712.5754018780E-03,+770.9547600243E-03,+752.1859430708E-03,+2.1357411674690E+00,-27.0597531144E-03
-500.0E-12,+734.1834418476E-03,+843.3165682945E-03,+809.4723746181E-03,+1.4623743405100E+00,-42.0853884771E-03
-0.0E+00,+731.1683665030E-03,+855.8793822303E-03,+869.7738815099E-03,+1.1658919316251E+00,+6.0127579654E-03
+500.0E-12,+710.0628390908E-03,+826.7336538993E-03,+897.9145847261E-03,+1.0352386666928E+00,+63.1343422665E-03
+1.0000E-09,+714.5854521077E-03,+710.1507405750E-03,+885.3517707903E-03,+834.2336437199E-03,+166.3399127738E-03
+1.5000E-09,+755.7914818171E-03,+632.7638067305E-03,+777.8140834998E-03,+618.1532440241E-03,+136.2886420484E-03
+2.0000E-09,+794.4849487394E-03,+638.2914448623E-03,+661.2311701756E-03,+296.5452072676E-03,+14.0291157059E-03
+2.5000E-09,+754.2839441448E-03,+684.5226001460E-03,+635.6030297466E-03,-4.9623271916E-03,-57.1110238398E-03
+3.0000E-09,+668.8568093814E-03,+718.6934540514E-03,+651.1809190270E-03,-165.7663455699E-03,-76.1649796750E-03
+3.5000E-09,+667.3492717091E-03,+762.9145591054E-03,+595.9045377094E-03,-321.5452383738E-03,-175.3825129144E-03
+4.0000E-09,+711.5703767631E-03,+774.4723479263E-03,+498.4171015676E-03,-452.1985033061E-03,-283.5832008077E-03
+4.5000E-09,+724.1331906989E-03,+744.3215944804E-03,+457.7135844156E-03,-648.1784007046E-03,-293.6137187844E-03
+5.0000E-09,+710.0628390908E-03,+667.9396857508E-03,+475.8040364832E-03,-791.3944795728E-03,-199.4315861357E-03
+5.5000E-09,+711.5703767631E-03,+565.4271240346E-03,+504.9497648142E-03,-791.3944795728E-03,-68.1486219346E-03
+6.0000E-09,+727.6507786009E-03,+482.0100395009E-03,+508.4673527163E-03,-781.3442284241E-03,+18.0171529737E-03
+6.5000E-09,+738.2035423070E-03,+443.8190851361E-03,+479.8241369426E-03,-700.9422192350E-03,+28.0476709504E-03
